STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,319762,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,310457,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,980896,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,965559,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2019,,9844,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2020,,10140,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,1139143,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,1084196,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,14.73,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,5.17,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,5.37,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2019,,307461,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2020,,312339,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,10.49,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,10.54,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2019,,18065.16,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2020,,17309.67,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,4.09,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,4.23,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2019,,25684,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2020,,26822,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2019,,1965,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2020,,2020,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2019,,63145,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2020,,65046,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2019,,7365,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2020,,7500,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,12.59,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,12.63,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2019,,21041,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2020,,21785,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,13.71,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,14.38,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2019,,7605,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2020,,7726,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,12.39,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,12.57,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2021,,22485,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,13.77,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2021,,8166,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,13.15,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2021,,17216.26,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,3.86,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2021,,19477.93,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2021,,313750,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2021,,1016291,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,PS,Persons,2021,,10924,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2021,,1069690,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,11.81,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2021,,16336.03,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,NURSES_P,Practising nurses,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,14.96,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,4457909,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,4280160,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,4.13,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,4.21,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2019,,16816.16,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2020,,15833.8,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2019,,2259,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,PS,Persons,2020,,2386,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,4.02,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,CTRY,Country,AUS,Australia,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,4.1,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2019,,4.45,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,DOC,Active physicians,_T,Total,_T,Total,10P3HB,Per 1 000 inhabitants,2020,,4.48,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2019,,1358222,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC,Discharges,2020,,1272287,,AUS,Australia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2019,,16905.28,,AUS,Australia,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_CARE(2.0),Health care - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,H_DISCHARGE_T,Hospital discharges,_Z,Not applicable,_Z,Not applicable,DSC_10P5PS,Discharges per 100 000 persons,2020,,15718.27,,AUS,Australia,A,Normal value,0,Units,1,One
